,LATITUDE,LONGITUDE,ZIP CODE
838,40.580627,-73.96622,11235
841,40.665718,-73.95687,11213
842,40.618427,-73.956245,11230
851,40.669857,-73.95051,11235
853,40.765392,-73.9182,11103
857,40.790813,-73.976456,10024
859,40.61913,-73.99019,11204
864,40.68896,-73.93326,11221
867,40.850475,-73.915436,10453
870,40.753284,-73.92049,11101
874,40.583725,-73.89372,11234
881,40.81574,-73.95456,10027
884,40.580616,-74.152534,10314
889,40.75831,-73.96294,10022
900,40.69977,-73.98294,11201
902,40.755405,-73.97949,10036
904,40.727287,-74.00064,10012
905,40.694363,-73.958,11205
913,40.694576,-73.95615,11205
914,40.736668,-73.997345,10011
915,40.588886,-73.965645,11223
919,40.752975,-73.91024,11377
920,40.70625,-74.00314,10038
925,40.730442,-73.98035,10009
931,40.71983,-73.98755,10002
939,40.85447,-73.91008,10453
941,40.64507,-73.95803,11226
942,40.69613,-73.987114,11201
950,40.605057,-73.999,11223
953,40.825756,-73.95094,10031
957,40.717175,-74.01288,10282
973,40.808002,-73.96391,10027
974,40.795456,-73.96564,10025
979,40.674,-73.960396,11238
981,40.60461,-73.99826,11214
982,40.57333,-74.117836,10306
984,40.730198,-73.954254,11222
994,40.601734,-73.935036,11229
995,40.73201,-73.98203,10009
997,40.61312,-73.9894,11204
998,40.650772,-74.01519,11220
999,40.84631,-73.91947,10453
1006,40.609005,-73.97304,11204
1011,40.799976,-73.94274,10035
1014,40.639256,-73.968796,11218
1017,40.87004,-73.8997,10468
1024,40.84028,-73.92741,10452
1026,40.748356,-74.00369,10001
1027,40.74622,-73.94553,11101
1030,40.820293,-73.94378,10030
1032,40.607258,-73.96727,11223
1036,40.682537,-73.95002,11216
1037,40.76464,-73.916595,11103
1038,40.579197,-73.98195,11224
1050,40.729824,-74.010605,10014
1054,40.63043,-73.88593,11239
1061,40.869846,-73.915886,10034
1068,40.823566,-73.93768,10039
1071,40.776833,-73.911705,11105
1072,40.799976,-73.958626,10025
1074,40.814102,-73.940865,10037
1081,40.78832,-73.941025,10029
1084,40.684006,-74.001656,11215
1087,40.771103,-73.96383,10021
1091,40.802444,-73.938835,10037
1093,40.56494,-74.15512,10308
1097,40.688904,-73.980934,11207
1101,40.686497,-73.94164,11221
1105,40.60455,-73.9691,11223
1107,40.837303,-73.90785,10456
1124,40.86795,-73.92701,10034
1126,40.716015,-74.00883,10012
1128,40.67556,-73.96334,11238
1130,40.691544,-73.9685,11205
1131,40.67342,-73.95017,11233
1139,40.734314,-73.93803,11101
1144,40.708805,-73.92577,11237
1145,40.692547,-73.990974,11201
1146,40.795456,-73.96564,10025
1151,40.785973,-73.96886,10024
1161,40.81467,-73.93622,10030
1166,40.6992,-73.92309,11221
1169,40.753677,-73.914474,11103
1170,40.67164,-73.95034,11233
1175,40.826275,-73.85971,10472
1179,40.67712,-73.900475,11207
1180,40.72225,-74.00592,10005
1181,40.79485,-73.962364,10025
1185,40.586765,-74.14617,10314
1186,40.85664,-73.86663,10462
1191,40.81133,-73.96403,10115
1193,40.66223,-73.93997,11203
1194,40.69979,-73.950096,11206
1197,40.672966,-73.941864,11213
1201,40.68438,-73.94702,11216
1206,40.820965,-73.939575,10030
1207,40.64507,-73.95803,11226
1208,40.659336,-73.92726,11212
1223,40.733612,-73.999565,10011
1228,40.801857,-73.957245,10026
1229,40.745907,-73.86964,11373
1230,40.626377,-73.910805,11234
1231,40.744915,-73.903694,11377
1233,40.747917,-73.9736,10035
1235,40.79599,-73.96896,10025
1238,40.748955,-73.87136,11372
1240,40.801754,-73.93121,10035
1241,40.825424,-73.923485,10451
1244,40.73305,-74.00642,10014
1246,40.822834,-73.941925,10030
1250,40.785732,-73.97645,10024
1251,40.79485,-73.962364,10025
1261,40.744064,-73.987755,10010
1269,40.672314,-73.893036,11207
1278,40.728195,-73.984886,10003
1279,40.576393,-73.9869,11224
1281,40.788685,-73.94386,10029
1294,40.75167,-73.94188,11101
1299,40.66434,-73.93155,11213
1313,40.63024,-74.139915,10302
1320,40.69986,-73.92829,11221
1323,40.70028,-73.941154,11216
1329,40.648464,-74.00683,11220
1330,40.68821,-73.96583,11238
1336,40.828278,-73.907036,10456
1350,40.82267,-73.92007,10451
1352,40.576885,-74.00323,11224
1353,40.822018,-73.95368,10031
1359,40.578938,-73.98522,11224
1360,40.790894,-73.945175,10029
1367,40.659355,-73.9992,11232
1369,40.72486,-73.98441,10009
1370,40.79286,-73.96754,10025
1374,40.874638,-73.909744,10463
1380,40.75286,-73.87446,11372
1391,40.75597,-73.91262,11103
1396,40.701958,-73.9239,11237
1402,40.67277,-73.9628,11238
1403,40.873947,-73.88341,10458
1404,40.843906,-73.92413,10452
1412,40.670277,-73.92542,11213
1414,40.747543,-73.97079,10016
1417,40.61384,-73.981445,11204
1422,40.677975,-73.91913,11233
1427,40.77929,-73.98114,10023
1431,40.768616,-73.92508,11102
1433,40.742096,-73.86748,11373
1438,40.67672,-73.94708,11213
1439,40.636574,-74.019196,11220
1446,40.752975,-73.91024,11377
1453,40.75991,-73.95882,10065
1456,40.703854,-73.95128,11206
1457,40.698387,-73.774895,11433
1458,40.8165,-73.946556,10030
1461,40.717834,-73.95773,11249
1468,40.659718,-73.94534,11203
1475,40.8133,-73.930405,10451
1476,40.597095,-74.18205,10314
1482,40.75595,-73.99074,10036
1483,40.686745,-73.96553,11221
1484,40.83516,-73.94561,10032
1490,40.688553,-73.962845,11205
1494,40.66278,-73.88086,11207
1496,40.75887,-73.82064,11355
1501,40.795956,-73.97083,10025
1502,40.835724,-73.92129,10452
1503,40.660824,-73.95065,11225
1505,40.843105,-73.91044,10457
1514,40.82579,-73.941055,10039
1515,40.58848,-73.991875,11214
1517,40.57944,-73.979614,11224
1518,40.667942,-73.99074,11215
1520,40.722977,-74.005066,10013
1526,40.684395,-73.97835,11209
1533,40.699192,-73.95519,11206
1536,40.76889,-73.9821,10034
1543,40.691456,-73.98735,11201
1549,40.698036,-73.962845,11237
1557,40.71717,-73.834946,11375
1568,40.74088,-73.990074,10010
1570,40.724136,-73.992615,10002
1576,40.693436,-73.97784,11201
1577,40.821636,-73.93909,10031
1584,40.887592,-73.8572,10466
1588,40.814774,-73.94038,10030
1593,40.68871,-73.95499,11216
1595,40.747242,-73.88766,11372
1602,40.69816,-73.92528,11221
1606,40.575935,-74.00543,11224
1608,40.852642,-73.908424,10453
1610,40.787064,-73.94194,10029
1617,40.70718,-73.92107,11237
1622,40.58196,-73.959946,11224
1624,40.696983,-73.935234,11206
1626,40.75348,-73.980896,10036
1629,40.71074,-73.94548,11206
1636,40.70284,-73.90529,11385
1639,40.580658,-73.985664,11224
1640,40.69939,-73.91938,11237
1644,40.66803,-73.87285,11208
1650,40.60676,-73.96373,11223
1655,40.69296,-73.93106,11221
1658,40.69302,-73.93706,11221
1664,40.81269,-73.95313,10027
1671,40.710907,-73.95165,11211
1676,40.77918,-73.9508,10128
1678,40.676598,-73.93039,11213
1680,40.695705,-73.94637,11206
1682,40.730885,-73.9479,11222
1692,40.676598,-73.93039,11213
1695,40.689274,-73.99913,11201
1698,40.68718,-73.79914,11435
1706,40.68668,-73.97937,11221
1708,40.804585,-73.91213,10454
1710,40.73384,-74.00121,10014
1711,40.73398,-73.99095,10009
1715,40.86177,-73.89868,10468
1718,40.754707,-73.99164,10018
1727,40.695255,-73.75554,11412
1728,40.753933,-73.86122,11368
1731,40.862755,-73.901085,10468
1738,40.60063,-73.9831,11223
1741,40.73992,-73.81513,11355
1745,40.700726,-73.94194,11206
1760,40.677414,-73.93033,11234
1768,40.747295,-73.97405,10016
1771,40.701355,-73.88794,11385
1778,40.606247,-73.97645,11223
1781,40.823647,-73.943855,10030
1785,40.811264,-73.95782,10027
1791,40.82451,-73.95186,10031
1794,40.71406,-73.95292,11211
