COLLISION_ID,index,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET
4272735,13242,1/9/20,17:00:00,BROOKLYN,11201,40.68481,-73.99177,"(40.68481, -73.99177)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Bike,SMITH STREET
4271080,13262,1/9/20,18:00:00,MANHATTAN,10027,40.810276,-73.94738,"(40.810276, -73.94738)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Bike,Sedan,7 AVENUE
4273133,13245,1/9/20,19:00:00,MANHATTAN,10034,40.867012,-73.92312,"(40.867012, -73.92312)",1,0,0,0,1,0,0,0,Turning Improperly,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,Bike,BROADWAY
4271465,13358,1/9/20,23:00:00,BROOKLYN,11237,40.697716,-73.967735,"(40.697716, -73.967735)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Tractor Truck Diesel,Bike,FLUSHING AVENUE
4283313,13311,1/10/20,5:00:00,MANHATTAN,10017,40.75603,-73.979034,"(40.75603, -73.979034)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Taxi,Bike,EAST 46 STREET
4271293,13363,1/10/20,8:00:00,BROOKLYN,11201,40.69456,-73.99067,"(40.69456, -73.99067)",1,0,0,0,1,0,0,0,Passing Too Closely,Following Too Closely,Bike,Sedan,PIERREPONT STREET
4272313,13334,1/10/20,10:00:00,BROOKLYN,11205,40.698463,-73.960205,"(40.698463, -73.960205)",1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,Station Wagon/Sport Utility Vehicle,Bike,FLUSHING AVENUE
4272017,13295,1/10/20,15:00:00,QUEENS,11372,40.749157,-73.86943,"(40.749157, -73.86943)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Sedan,Bike,JUNCTION BOULEVARD
4274510,13328,1/10/20,15:00:00,QUEENS,11385,40.703873,-73.91256,"(40.703873, -73.91256)",1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,Bike,Station Wagon/Sport Utility Vehicle,CYPRESS AVENUE
4271950,13355,1/10/20,17:00:00,QUEENS,11378,40.716793,-73.92155,"(40.716793, -73.92155)",1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,GRAND AVENUE
