collision_id,dates,times,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code_1,vehicle_type_code_2,street,bike_lane,day_of_week,month,temperature,visibility,humidity,wind_speed,weather_main
4271924,1/8/20,17:00:00,BRONX,10458,40.856743,-73.89527,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,E-Scooter,WEBSTER AVENUE,0,Wednesday,January,41.18,10000,53,26.4,Clouds
4271924,1/8/20,17:00:00,BRONX,10458,40.856743,-73.89527,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,E-Scooter,WEBSTER AVENUE,0,Wednesday,January,41.18,10000,53,26.4,Clouds
4270742,1/8/20,17:00:00,BROOKLYN,11230,40.61265,-73.96187,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,e-scooter,Sedan,EAST 12 STREET,0,Wednesday,January,41.18,10000,53,26.4,Clouds
4270742,1/8/20,17:00:00,BROOKLYN,11230,40.61265,-73.96187,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,e-scooter,Sedan,EAST 12 STREET,0,Wednesday,January,41.18,10000,53,26.4,Clouds
4271164,1/9/20,6:00:00,BRONX,10451,40.823383,-73.91834,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,PARK AVENUE,0,Thursday,January,28.35,10000,47,29.97,Clouds
4271019,1/9/20,12:00:00,BRONX,10455,40.818157,-73.90625,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,sedan,Bike,FOREST AVENUE,0,Thursday,January,24.91,10000,55,19.69,Clear
4271100,1/9/20,13:00:00,MANHATTAN,10012,40.723022,-73.99882,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,box truck,Station Wagon/Sport Utility Vehicle,BROADWAY,1,Thursday,January,24.93,10000,54,16.11,Clear
4272735,1/9/20,17:00:00,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,SMITH STREET,1,Thursday,January,29.97,10000,38,9.17,Clear
4271080,1/9/20,18:00:00,MANHATTAN,10027,40.810276,-73.94738,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,bike,Sedan,7 AVENUE,0,Thursday,January,31.89,10000,35,8.05,Clear
4273133,1/9/20,19:00:00,MANHATTAN,10034,40.867012,-73.92312,1,0,0,0,1,0,0,0,Turning Improperly,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,station wagon/sport utility vehicle,Bike,BROADWAY,0,Thursday,January,33.21,10000,33,4.7,Clear
4271465,1/9/20,23:00:00,BROOKLYN,11237,40.697716,-73.967735,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,tractor truck diesel,Bike,FLUSHING AVENUE,0,Thursday,January,33.28,10000,38,6.93,Clear
4283313,1/10/20,5:00:00,MANHATTAN,10017,40.75603,-73.979034,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,taxi,Bike,EAST 46 STREET,1,Friday,January,33.4,10000,58,10.29,Clear
4271293,1/10/20,8:00:00,BROOKLYN,11201,40.69456,-73.99067,1,0,0,0,1,0,0,0,Passing Too Closely,Following Too Closely,bike,Sedan,PIERREPONT STREET,1,Friday,January,35.11,10000,66,9.17,Clear
4272313,1/10/20,10:00:00,BROOKLYN,11205,40.698463,-73.960205,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,station wagon/sport utility vehicle,Bike,FLUSHING AVENUE,0,Friday,January,35.65,10000,69,9.17,Clear
4272017,1/10/20,15:00:00,QUEENS,11372,40.749157,-73.86943,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,JUNCTION BOULEVARD,0,Friday,January,40.91,10000,69,14,Clouds
4272017,1/10/20,15:00:00,QUEENS,11372,40.749157,-73.86943,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,JUNCTION BOULEVARD,0,Friday,January,40.91,10000,69,14,Clouds
4274510,1/10/20,15:00:00,QUEENS,11385,40.703873,-73.91256,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,bike,Station Wagon/Sport Utility Vehicle,CYPRESS AVENUE,1,Friday,January,40.91,10000,69,14,Clouds
4274510,1/10/20,15:00:00,QUEENS,11385,40.703873,-73.91256,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,bike,Station Wagon/Sport Utility Vehicle,CYPRESS AVENUE,1,Friday,January,40.91,10000,69,14,Clouds
4271950,1/10/20,17:00:00,QUEENS,11378,40.716793,-73.92155,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,station wagon/sport utility vehicle,Bike,GRAND AVENUE,0,Friday,January,42.58,10000,65,11.41,Clouds
4271950,1/10/20,17:00:00,QUEENS,11378,40.716793,-73.92155,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,station wagon/sport utility vehicle,Bike,GRAND AVENUE,0,Friday,January,42.58,10000,65,11.41,Clouds
4271536,1/10/20,17:00:00,MANHATTAN,10031,40.817593,-73.95319,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,station wagon/sport utility vehicle,E-Scooter,WEST 133 STREET,0,Friday,January,42.58,10000,65,11.41,Clouds
4271536,1/10/20,17:00:00,MANHATTAN,10031,40.817593,-73.95319,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,station wagon/sport utility vehicle,E-Scooter,WEST 133 STREET,0,Friday,January,42.58,10000,65,11.41,Clouds
4271872,1/10/20,20:00:00,QUEENS,11372,40.74783,-73.88208,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,taxi,Bike,84 STREET,0,Friday,January,52.66,10000,62,16.11,Clouds
