COLLISION_ID,DATES,TIME,DAY_OF_WEEK,MONTH,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,TEMP,VISIBILITY,HUMIDITY,WIND_SPEED,WEATHER_MAIN,BIKE_LANE
4271164," January 9, 2020",6:00:00,Thursday,January,BRONX,10451,40.823383,-73.91834,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,PARK AVENUE,28.35,10000.00,47,29.97,Clouds,0
4271019," January 9, 2020",12:00:00,Thursday,January,BRONX,10455,40.818157,-73.90625,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,sedan,Bike,FOREST AVENUE,24.91,10000.00,55,19.69,Clear,0
4271100," January 9, 2020",13:00:00,Thursday,January,MANHATTAN,10012,40.723022,-73.99882,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,box truck,Station Wagon/Sport Utility Vehicle,BROADWAY,24.93,10000.00,54,16.11,Clear,1
4272735," January 9, 2020",17:00:00,Thursday,January,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,SMITH STREET,29.97,10000.00,38,9.17,Clear,1
4271080," January 9, 2020",18:00:00,Thursday,January,MANHATTAN,10027,40.810276,-73.94738,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,bike,Sedan,7 AVENUE,31.89,10000.00,35,8.05,Clear,0
4273133," January 9, 2020",19:00:00,Thursday,January,MANHATTAN,10034,40.867012,-73.92312,1,0,0,0,1,0,0,0,Turning Improperly,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,station wagon/sport utility vehicle,Bike,BROADWAY,33.21,10000.00,33,4.7,Clear,0
4271465," January 9, 2020",23:00:00,Thursday,January,BROOKLYN,11237,40.697716,-73.967735,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,tractor truck diesel,Bike,FLUSHING AVENUE,33.28,10000.00,38,6.93,Clear,0
4283313," January 10, 2020",5:00:00,Friday,January,MANHATTAN,10017,40.75603,-73.979034,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,taxi,Bike,EAST 46 STREET,33.4,10000.00,58,10.29,Clear,1
4271293," January 10, 2020",8:00:00,Friday,January,BROOKLYN,11201,40.69456,-73.99067,1,0,0,0,1,0,0,0,Passing Too Closely,Following Too Closely,bike,Sedan,PIERREPONT STREET,35.11,10000.00,66,9.17,Clear,1
4272313," January 10, 2020",10:00:00,Friday,January,BROOKLYN,11205,40.698463,-73.960205,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,station wagon/sport utility vehicle,Bike,FLUSHING AVENUE,35.65,10000.00,69,9.17,Clear,0
4272017," January 10, 2020",15:00:00,Friday,January,QUEENS,11372,40.749157,-73.86943,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,JUNCTION BOULEVARD,40.91,10000.00,69,14,Clouds,0
4274510," January 10, 2020",15:00:00,Friday,January,QUEENS,11385,40.703873,-73.91256,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,bike,Station Wagon/Sport Utility Vehicle,CYPRESS AVENUE,40.91,10000.00,69,14,Clouds,1
4271950," January 10, 2020",17:00:00,Friday,January,QUEENS,11378,40.716793,-73.92155,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,station wagon/sport utility vehicle,Bike,GRAND AVENUE,42.58,10000.00,65,11.41,Clouds,0
4271536," January 10, 2020",17:00:00,Friday,January,MANHATTAN,10031,40.817593,-73.95319,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,station wagon/sport utility vehicle,E-Scooter,WEST 133 STREET,42.58,10000.00,65,11.41,Clouds,0
4271872," January 10, 2020",20:00:00,Friday,January,QUEENS,11372,40.74783,-73.88208,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,taxi,Bike,84 STREET,52.66,10000.00,62,16.11,Clouds,0
4272477," January 10, 2020",23:00:00,Friday,January,QUEENS,11418,40.694416,-73.83599,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,111 STREET,52.16,10000.00,66,11.41,Clouds,0
4271833," January 11, 2020",4:00:00,Saturday,January,STATEN ISLAND,10302,40.629257,-74.13761,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,HEBERTON AVENUE,50.77,10000.00,67,13,Clouds,1
4272443," January 11, 2020",10:00:00,Saturday,January,BROOKLYN,11221,40.697998,-73.92606,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,MYRTLE AVENUE,54.55,10000.00,73,13,Clouds,0
4272103," January 11, 2020",13:00:00,Saturday,January,BROOKLYN,11215,40.661907,-73.99284,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,Bike,5 AVENUE,56.21,10000.00,77,11.41,Clouds,1
4272076," January 11, 2020",17:00:00,Saturday,January,BROOKLYN,11212,40.66077,-73.91975,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,e-scooter,Station Wagon/Sport Utility Vehicle,ROCKAWAY PARKWAY,63.34,10000.00,62,27.74,Clouds,0
4271951," January 11, 2020",18:00:00,Saturday,January,QUEENS,11372,40.755028,-73.872696,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,34 AVENUE,64.22,10000.00,60,28.86,Clear,0
4276442," January 11, 2020",19:00:00,Saturday,January,QUEENS,11435,40.695335,-73.80121,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,station wagon/sport utility vehicle,Bike,SOUTH ROAD,65.23,10000.00,58,24.16,Clouds,0
4272610," January 11, 2020",21:00:00,Saturday,January,QUEENS,11433,40.703556,-73.78805,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,bike,Sedan,170 STREET,60.64,10000.00,65,16.11,Clouds,0
4273496," January 12, 2020",11:00:00,Sunday,January,BROOKLYN,11219,40.6406,-73.99434,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,FORT HAMILTON PARKWAY,62.19,10000.00,85,28.86,Rain,1
4272049," January 12, 2020",14:00:00,Sunday,January,QUEENS,11363,40.76229,-73.75711,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,NORTHERN BOULEVARD,64.67,10000.00,59,34.45,Rain,0
4273509," January 12, 2020",20:00:00,Sunday,January,BROOKLYN,11232,40.647068,-73.993935,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,9 AVENUE,65.3,10000.00,36,25.28,Clear,1
4276639," January 13, 2020",5:00:00,Monday,January,QUEENS,11101,40.73555,-73.934784,1,0,0,0,1,0,0,0,Other Lighting Defects,Driver Inattention/Distraction,bike,Pick-up Truck,GREENPOINT AVENUE,46.38,10000.00,56,14.99,Clear,0
4272920," January 13, 2020",16:00:00,Monday,January,BROOKLYN,11215,40.66822,-73.97383,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,PROSPECT PARK WEST,43.32,10000.00,73,9.17,Clouds,0
4272907," January 13, 2020",16:00:00,Monday,January,BROOKLYN,11221,40.69579,-73.93313,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,bike,Sedan,BROADWAY,43.32,10000.00,73,9.17,Clouds,0
4277714," January 13, 2020",17:00:00,Monday,January,QUEENS,11354,40.77001,-73.811264,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,32 AVENUE,44.02,10000.00,74,8.05,Clouds,0
4273052," January 13, 2020",17:00:00,Monday,January,BRONX,10452,40.839603,-73.918144,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inexperience,sedan,E-Scooter,JEROME AVENUE,44.02,10000.00,74,8.05,Clouds,0
4273276," January 13, 2020",19:00:00,Monday,January,QUEENS,11103,40.767353,-73.9177,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,e-scooter,Sedan,28 AVENUE,45.18,10000.00,76,9.17,Haze,0
4272889," January 13, 2020",22:00:00,Monday,January,MANHATTAN,10128,40.783245,-73.94473,1,0,0,0,1,0,0,0,Unspecified,Unspecified,taxi,Bike,1 AVENUE,45.14,10000.00,76,8.05,Mist,0
4273321," January 14, 2020",8:00:00,Tuesday,January,BROOKLYN,11229,40.613052,-73.94913,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Taxi,KINGS HIGHWAY,42.01,10000.00,86,6.93,Clear,0
