,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
0,STATEN ISLAND,CONFERENCE HOUSE PARK GREENWAY,2,2,Greenway,40.500876,-74.249928,40.500563,-74.24969
10,STATEN ISLAND,HYLAN BLVD,2,2,Standard,40.508199,-74.227652,40.507753,-74.230064
13,STATEN ISLAND,MOUNT LORETTO GREENWAY,2,2,Greenway,40.505101,-74.221248,40.503424,-74.219395
28,MANHATTAN,79 ST NORTH ACCESS RAMP,2,2,Curbside,40.557564,-74.196975,40.556599,-74.196018
45,STATEN ISLAND,ARLENE ST,2,2,Standard,40.602796,-74.166948,40.602075,-74.167196
46,STATEN ISLAND,STEINWAY AVE,2,2,Sharrows,40.590455,-74.164487,40.590139,-74.164829
51,STATEN ISLAND,TRAVIS AVE,2,2,Standard,40.591808,-74.160136,40.59224,-74.160895
54,STATEN ISLAND,GULF AV,2,2,Sidewalk,40.629973,-74.18676,40.629947,-74.186767
55,STATEN ISLAND,GULF AV,2,2,Protected Path,40.62749,-74.182357,40.627408,-74.182212
66,STATEN ISLAND,GUYON AV,2,2,Sharrows,40.564444,-74.126753,40.563975,-74.12598
67,STATEN ISLAND,GUYON AV,2,2,Sharrows,40.563975,-74.12598,40.563527,-74.125235
71,STATEN ISLAND,S RAILROAD AV,2,2,Sharrows,40.565889,-74.125142,40.565326,-74.125709
80,STATEN ISLAND,KELLY BLVD,2,2,Standard,40.588466,-74.152631,40.587892,-74.153183
82,STATEN ISLAND,ROCKLAND AVE,2,2,Sharrows,40.589493,-74.149728,40.590179,-74.150968
83,STATEN ISLAND,ROCKLAND AVE,2,2,Standard,40.588842,-74.148693,40.589493,-74.149728
86,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.629844,-74.123614,40.629249,-74.12322
100,STATEN ISLAND,BEACH AV,R,1,Signed Route,40.571343,-74.120053,40.57125,-74.119895
104,QUEENS,11 AV,R,1,Standard,40.626361,-74.0083,40.625802,-74.008879
108,STATEN ISLAND,NEW DORP PLZ,R,1,Standard,40.57256,-74.11889,40.571474,-74.120283
109,STATEN ISLAND,NEW DORP PLZ,L,1,,40.572353,-74.118518,40.57125,-74.119895
114,STATEN ISLAND,N RAILROAD AV,R,1,Standard,40.574552,-74.116153,40.574159,-74.116683
117,STATEN ISLAND,MILL RD,2,2,Sharrows,40.557283,-74.114169,40.557131,-74.114731
124,STATEN ISLAND,S RAILROAD AV,L,1,,40.57489,-74.114842,40.574414,-74.115522
131,STATEN ISLAND,MILL RD,2,2,Standard,40.562547,-74.11149,40.561458,-74.112263
136,STATEN ISLAND,NEW DORP LN,2,2,Sharrows,40.568778,-74.106604,40.568255,-74.105473
142,STATEN ISLAND,MIDLAND AV,2,2,Standard,40.577944,-74.102316,40.57748,-74.101429
163,STATEN ISLAND,MIDLAND AV,R,1,Standard,40.58073,-74.107556,40.580644,-74.107397
178,QUEENS,10 AV,L,1,,40.628161,-74.010014,40.627693,-74.0105
184,STATEN ISLAND,JEFFERSON AV,L,1,,40.584224,-74.102789,40.584107,-74.102633
188,STATEN ISLAND,JEFFERSON ST,2,2,Sharrows,40.584776,-74.102043,40.584224,-74.102789
189,STATEN ISLAND,HYLAN BLVD,L,1,,40.578624,-74.10167,40.577944,-74.102316
198,MANHATTAN,MADISON AV BR,2,0,,40.814263,-73.934172,40.814257,-73.934068
200,STATEN ISLAND,BUEL AV,2,2,Sharrows,40.588388,-74.099638,40.58781,-74.098506
205,STATEN ISLAND,BUEL AV,2,2,Standard,40.58524,-74.093407,40.584299,-74.091568
207,STATEN ISLAND,MASON AV,2,2,Standard,40.584143,-74.089121,40.583392,-74.089784
208,STATEN ISLAND,CLOVE ROAD,2,2,Standard,40.626989,-74.120569,40.626536,-74.120129
216,STATEN ISLAND,VAN DUZER ST,R,1,Buffered,40.620376,-74.085813,40.619909,-74.085899
220,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.621194,-74.110944,40.620688,-74.110016
221,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.620688,-74.110016,40.620296,-74.109108
222,STATEN ISLAND,CLOVE ROAD,2,2,Curbside,40.620296,-74.109108,40.619699,-74.107706
225,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.616416,-74.103509,40.615781,-74.103026
226,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.615781,-74.103026,40.615187,-74.102568
227,STATEN ISLAND,CLOVE ROAD,2,2,Standard,40.615187,-74.102568,40.6146,-74.102094
233,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.612919,-74.099877,40.612419,-74.09935
234,STATEN ISLAND,RICHMOND RD,R,1,Bike-Friendly Parking,40.610664,-74.088997,40.609848,-74.089588
236,STATEN ISLAND,RICHMOND RD,R,1,Standard,40.611672,-74.088332,40.610859,-74.088866
240,STATEN ISLAND,VAN DUZER ST,R,1,Curbside,40.615318,-74.087834,40.615243,-74.087851
241,STATEN ISLAND,VAN DUZER ST,R,1,Sharrows,40.614419,-74.087428,40.613307,-74.08721
245,STATEN ISLAND,RICHMOND TER,2,2,Sharrows,40.645382,-74.102974,40.645385,-74.103095
249,STATEN ISLAND,RICHMOND TER,2,2,Curbside,40.644811,-74.095968,40.644754,-74.096464
250,QUEENS,KANE ST,L,1,,40.686096,-73.996358,40.685775,-73.995386
255,STATEN ISLAND,RICHMOND TER,2,2,Signed Route,40.646664,-74.088933,40.646458,-74.089297
256,STATEN ISLAND,OCEAN AV,R,1,Sharrows,40.596183,-74.063549,40.595599,-74.063122
257,STATEN ISLAND,LILY POND AV,2,2,Standard,40.600182,-74.064637,40.598935,-74.063759
261,STATEN ISLAND,DRURY AV,R,1,Sharrows,40.594189,-74.061818,40.593582,-74.062601
262,STATEN ISLAND,TARGEE ST,L,1,,40.609879,-74.087208,40.608981,-74.088125
265,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.6135,-74.08693,40.613307,-74.08721
280,STATEN ISLAND,VAN DUZER ST,R,1,Sharrows,40.617832,-74.086268,40.617169,-74.086572
287,STATEN ISLAND,VAN DUZER ST,R,1,Curbside,40.619909,-74.085899,40.6191,-74.086006
289,STATEN ISLAND,TARGEE ST,L,1,,40.620226,-74.084471,40.619808,-74.084561
292,STATEN ISLAND,BROAD ST,2,2,Standard,40.623253,-74.083824,40.622801,-74.08525
293,STATEN ISLAND,VAN DUZER ST,R,1,Curbside,40.626267,-74.084154,40.624625,-74.084962
303,STATEN ISLAND,ST PAULS AVE,R,1,Standard,40.627883,-74.0836,40.627668,-74.08374
304,STATEN ISLAND,ST PAULS AVE,R,1,Buffered,40.630012,-74.081731,40.62993,-74.081839
305,STATEN ISLAND,ST PAULS AVE,R,1,Sharrows,40.630301,-74.081406,40.630012,-74.081731
306,MANHATTAN,RFK BR,2,0,,40.801456,-73.931421,40.801354,-73.931182
307,STATEN ISLAND,ST PAULS AVE,R,1,Buffered,40.631212,-74.080356,40.630301,-74.081406
308,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.618553,-74.080001,40.617789,-74.081103
309,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.618886,-74.079389,40.618553,-74.080001
310,STATEN ISLAND,VANDERBILT AV,2,2,Standard,40.619585,-74.078054,40.618886,-74.079389
317,STATEN ISLAND,VAN DUZER ST,L,1,,40.628951,-74.079725,40.628262,-74.08038
321,STATEN ISLAND,BAY ST,2,2,Sharrows,40.629298,-74.076604,40.62907,-74.076562
332,STATEN ISLAND,BROAD ST,2,2,Standard,40.62551,-74.075983,40.625288,-74.077413
339,STATEN ISLAND,FRONT ST,2,2,Standard,40.626818,-74.074128,40.626114,-74.073975
349,STATEN ISLAND,BAY ST,2,2,Sharrows,40.619466,-74.070145,40.61899,-74.06974
351,STATEN ISLAND,BAY ST,2,2,Sharrows,40.621859,-74.072064,40.621461,-74.071742
358,STATEN ISLAND,BAY ST,2,2,Sharrows,40.614089,-74.066134,40.61335,-74.065587
361,QUEENS,RUGBY RD,R,1,Standard,40.636688,-73.964513,40.6351,-73.964216
362,STATEN ISLAND,SCHOOL RD,2,2,Standard,40.606043,-74.063349,40.605314,-74.065002
379,STATEN ISLAND,SWAN ST,R,1,Sharrows,40.634716,-74.077627,40.634864,-74.078455
381,STATEN ISLAND,VAN DUZER ST,L,1,,40.637864,-74.077982,40.635649,-74.076878
382,STATEN ISLAND,VAN DUZER ST,L,1,,40.638104,-74.077929,40.637864,-74.077982
389,STATEN ISLAND,SWAN ST,R,1,Buffered,40.635147,-74.075671,40.634997,-74.076446
390,STATEN ISLAND,BAY ST,2,2,Standard,40.636562,-74.076179,40.635936,-74.075848
392,STATEN ISLAND,FERRY TERMINAL VIADUCT,2,2,Protected Path,40.642147,-74.074947,40.642199,-74.074654
394,QUEENS,SHORE RD,R,1,Standard,40.624913,-74.040663,40.624861,-74.040669
396,QUEENS,86 ST,2,2,Standard,40.625688,-74.040744,40.625371,-74.039109
397,QUEENS,MARINE AVENUE,2,2,Sharrows,40.617055,-74.035925,40.616671,-74.035682
412,QUEENS,COLONIAL RD,L,1,,40.621275,-74.03784,40.620585,-74.038094
418,QUEENS,85 ST,R,1,Standard,40.626216,-74.038717,40.625599,-74.036071
430,QUEENS,RIDGE BL,R,1,Standard,40.618168,-74.036162,40.617989,-74.036491
432,QUEENS,7 Av,R,1,Standard,40.622449,-74.02165,40.621917,-74.022318
449,QUEENS,84 ST,L,1,,40.626285,-74.035789,40.625647,-74.033108
458,QUEENS,FT HAMILTON PARKWAY,2,2,Sharrows,40.613927,-74.030164,40.613122,-74.030854
469,QUEENS,BAY RIDGE PKWY,2,2,Sharrows,40.632735,-74.033155,40.632099,-74.030473
472,QUEENS,BAY RIDGE PKWY,2,2,Sharrows,40.632099,-74.030473,40.631463,-74.027791
478,QUEENS,11 AV,R,1,Sharrows,40.618447,-74.01653,40.617888,-74.017111
479,QUEENS,FT HAMILTON PARKWAY,2,2,Standard,40.618254,-74.02636,40.616984,-74.027489
484,QUEENS,FT HAMILTON PARKWAY,2,2,Standard,40.620949,-74.023697,40.620437,-74.024466
486,QUEENS,84 ST PED OVPS,2,0,,40.621211,-74.022625,40.621264,-74.022555
488,QUEENS,BAY RIDGE PKWY,2,2,Standard,40.629486,-74.022638,40.628062,-74.020277
489,QUEENS,72 STREET,R,1,Standard,40.633096,-74.025178,40.632859,-74.024238
491,QUEENS,CROPSEY AV,2,2,Standard,40.607822,-74.021506,40.607666,-74.021261
493,QUEENS,7 AV,2,2,Standard,40.616166,-74.022161,40.61458,-74.022797
497,QUEENS,85 ST,R,1,Standard,40.619263,-74.020899,40.618656,-74.019895
501,QUEENS,84 ST,L,1,,40.619217,-74.019313,40.617888,-74.017111
508,QUEENS,6 AVENUE,2,2,Sharrows,40.622896,-74.022389,40.622178,-74.022687
515,QUEENS,7 AV,2,2,Protected Path,40.62488,-74.019632,40.624246,-74.020074
526,QUEENS,5 AVENUE,2,2,Sharrows,40.632579,-74.021375,40.631688,-74.021737
547,QUEENS,BAY RIDGE PKWY,2,2,Sharrows,40.626591,-74.017842,40.625775,-74.016488
548,QUEENS,7 AV,2,2,Protected Path,40.627862,-74.018328,40.627071,-74.018639
551,QUEENS,OVINGTON RD,2,2,Standard,40.630412,-74.016614,40.630286,-74.016343
558,QUEENS,72 ST,R,1,Standard,40.635985,-74.037245,40.635783,-74.0365
560,QUEENS,BAY RIDGE PKWY,2,2,Sharrows,40.633639,-74.036927,40.63337,-74.035836
568,QUEENS,68 ST,L,1,,40.639763,-74.035588,40.639355,-74.034382
587,QUEENS,68 STREET,L,1,,40.635319,-74.023235,40.634169,-74.020722
589,QUEENS,3 AV,R,1,Standard,40.63714,-74.025472,40.636668,-74.025666
594,QUEENS,57 ST,L,1,,40.646502,-74.023205,40.645173,-74.021003
602,QUEENS,5 AV,2,2,Sharrows,40.636576,-74.019185,40.63608,-74.019704
603,QUEENS,58 ST,R,1,Sharrows,40.64332,-74.019457,40.643271,-74.019387
605,QUEENS,2 AV,R,1,Sharrows,40.645173,-74.021003,40.644598,-74.021598
608,QUEENS,7 AV,2,3,Curbside,40.633391,-74.015862,40.633362,-74.015923
609,QUEENS,66 ST,2,2,Protected Path,40.633517,-74.015602,40.633222,-74.015146
610,QUEENS,5 AV,2,2,Sharrows,40.637781,-74.017931,40.637217,-74.01852
612,QUEENS,62 ST,R,1,Standard,40.638341,-74.017351,40.637015,-74.015146
613,QUEENS,6 AV,L,1,,40.636138,-74.016068,40.635896,-74.016305
617,QUEENS,44 ST,R,1,Sharrows,40.653782,-74.015631,40.652454,-74.013431
618,MANHATTAN,GOVERNORS ISLAND GREENWAY,2,2,Greenway,40.685139,-74.021137,40.684791,-74.021912
620,QUEENS,FERRIS ST,2,2,Signed Route,40.678123,-74.016903,40.677594,-74.017534
623,MANHATTAN,OWASCO ROAD,2,2,Greenway,40.688324,-74.016653,40.687621,-74.017752
624,MANHATTAN,DIV RD,2,2,Greenway,40.687938,-74.018116,40.688222,-74.018439
628,MANHATTAN,CLAYTON ROAD,2,2,Greenway,40.68763,-74.016354,40.687761,-74.016441
629,MANHATTAN,CRAIG RD S,2,2,Greenway,40.687399,-74.016165,40.68699,-74.017047
635,MANHATTAN,CRAIG RD N,2,2,Greenway,40.691506,-74.020592,40.690778,-74.021361
641,MANHATTAN,WHEELER AVENUE,2,2,Greenway,40.691071,-74.019367,40.69091,-74.019628
643,MANHATTAN,HAY ROAD,2,2,Greenway,40.692702,-74.018884,40.692086,-74.018876
644,MANHATTAN,BATTERY PARK CITY GREENWAY,2,2,Greenway,40.706966,-74.018895,40.706874,-74.018502
652,MANHATTAN,COMFORT ROAD,2,2,Greenway,40.688303,-74.016501,40.688789,-74.01672
654,MANHATTAN,ANDES ROAD,2,2,Greenway,40.692672,-74.018229,40.692702,-74.018884
655,MANHATTAN,CARDER RD,2,2,Greenway,40.692963,-74.016914,40.693245,-74.017061
657,MANHATTAN,FERRY LINE ROAD,2,2,Greenway,40.692792,-74.015428,40.692463,-74.015522
660,MANHATTAN,SOUTH END AV,2,2,Bike-Friendly Parking,40.707969,-74.017714,40.708457,-74.017398
661,MANHATTAN,SOUTH END AV,2,2,Bike-Friendly Parking,40.708457,-74.017398,40.709058,-74.016958
664,QUEENS,BOARDWALK W,2,2,Boardwalk,40.572056,-74.001236,40.572317,-74.002366
665,QUEENS,NEPTUNE AV,L,1,,40.577006,-74.00216,40.576887,-74.003223
684,QUEENS,SURF AV,L,1,,40.575415,-73.983423,40.575304,-73.984519
685,QUEENS,W 17 ST,R,1,Signed Route,40.576626,-73.984774,40.575304,-73.984519
693,QUEENS,W 15 ST,L,1,,40.576859,-73.982651,40.575513,-73.982396
694,QUEENS,BAY 16 ST,R,1,Standard,40.60247,-74.010017,40.601657,-74.010868
695,QUEENS,17 AV,L,1,Standard,40.603861,-74.00978,40.602916,-74.010751
696,QUEENS,BATH AV,2,2,Sharrows,40.605715,-74.009192,40.605218,-74.008369
700,QUEENS,BATH AV,2,2,Standard,40.603079,-74.004635,40.602668,-74.003853
701,QUEENS,BAY 16 ST,R,1,Sharrows,40.604768,-74.007626,40.60345,-74.008995
710,QUEENS,SHORE PKWY,2,2,Protected Path,40.593974,-73.997368,40.593322,-73.996544
711,QUEENS,BAY PKWY,R,1,Signed Route,40.596641,-73.999319,40.596442,-73.99951
712,QUEENS,CROPSEY AV,2,2,Bike-Friendly Parking,40.597269,-73.998656,40.596745,-73.997989
723,QUEENS,SHORE PKWY,L,1,,40.59192,-73.994004,40.591271,-73.993466
730,QUEENS,BATH AV,2,2,Sharrows,40.596141,-73.993845,40.595661,-73.993134
744,QUEENS,BAY 52 ST,L,1,,40.583592,-73.98721,40.583467,-73.988299
756,QUEENS,86 ST,2,2,Standard,40.596744,-73.985266,40.596068,-73.984127
767,QUEENS,14 AV,2,2,Sharrows,40.609356,-74.015224,40.607654,-74.017019
778,QUEENS,BAY RIDGE PKWY,2,2,Standard,40.624294,-74.014033,40.622964,-74.011832
784,QUEENS,66 ST,L,1,,40.633222,-74.015146,40.632014,-74.013176
785,QUEENS,66 ST,L,1,,40.632014,-74.013176,40.630682,-74.01097
786,QUEENS,64 ST,R,1,Standard,40.633234,-74.011908,40.631905,-74.009704
797,QUEENS,66 ST,L,1,,40.630113,-74.010003,40.629371,-74.008754
817,QUEENS,62 ST,R,1,Standard,40.631694,-74.006339,40.630364,-74.004137
823,QUEENS,14 AVE,L,1,,40.628097,-73.995743,40.627511,-73.996348
833,QUEENS,W 6 ST,2,2,Bike-Friendly Parking,40.608077,-73.979697,40.605941,-73.979276
836,QUEENS,7 AV,L,1,,40.633962,-74.014754,40.633222,-74.015146
838,QUEENS,7 AV,2,2,Sharrows,40.634564,-74.014109,40.633962,-74.014754
842,QUEENS,5 AV,2,2,Sharrows,40.657428,-73.997501,40.656865,-73.998091
845,QUEENS,58 ST,R,1,Standard,40.640625,-74.01498,40.639296,-74.012775
847,QUEENS,57 ST,L,1,,40.641186,-74.014396,40.639855,-74.012195
854,QUEENS,43 ST,2,2,Protected Path,40.654363,-74.015048,40.653004,-74.012848
855,QUEENS,2 AV,R,1,Sharrows,40.653004,-74.012848,40.652454,-74.013431
868,QUEENS,44 ST,R,1,Standard,40.651088,-74.011174,40.65104,-74.011098
869,QUEENS,43 ST,L,1,,40.651654,-74.010591,40.651605,-74.01051
884,QUEENS,41 st,L,1,,40.650147,-74.005074,40.648821,-74.002867
890,QUEENS,42 ST,R,1,Standard,40.646926,-74.001249,40.645597,-73.999048
896,QUEENS,41 ST,L,1,,40.646159,-73.998466,40.644827,-73.996265
897,QUEENS,7 AV,2,2,Sharrows,40.647487,-74.000662,40.646926,-74.001249
904,QUEENS,9 AV,L,1,,40.644827,-73.996265,40.644266,-73.996844
909,QUEENS,37 ST,2,2,Standard,40.647069,-73.993929,40.645784,-73.991808
923,QUEENS,36 ST,L,1,,40.644046,-73.987499,40.643574,-73.986731
924,QUEENS,12 AV,L,1,,40.643574,-73.986731,40.643075,-73.987326
925,QUEENS,FT HAMILTON PKWY,R,1,Signed Route,40.644562,-73.98835,40.644119,-73.989059
927,QUEENS,7 AVE,L,1,,40.658134,-73.989592,40.657601,-73.990188
928,QUEENS,7 AVE,2,2,Sharrows,40.658691,-73.989013,40.658134,-73.989592
930,QUEENS,7 AVE,2,2,Standard,40.659817,-73.987841,40.659251,-73.988431
940,QUEENS,CHURCH AV,2,2,Bike-Friendly Parking,40.641325,-73.982994,40.641539,-73.982445
948,QUEENS,DAHILL RD,2,2,Standard,40.646496,-73.981198,40.645752,-73.981056
950,QUEENS,CATON AV,R,1,Standard,40.647297,-73.980291,40.647428,-73.979118
951,QUEENS,TERRACE PL,R,1,Standard,40.653416,-73.981453,40.654002,-73.979926
952,QUEENS,10 AVE,R,1,Buffered,40.65694,-73.98007,40.656381,-73.980653
953,QUEENS,VAN BRUNT ST,2,2,Sharrows,40.675731,-74.014803,40.675199,-74.015425
957,MANHATTAN,8 AV,R,1,Protected Path,40.739396,-74.002789,40.739753,-74.002524
958,QUEENS,SULLIVAN STREET,L,1,,40.678694,-74.013528,40.67972,-74.01503
960,QUEENS,CONOVER ST,L,1,,40.679226,-74.012904,40.678694,-74.013528
961,QUEENS,KING ST,R,1,Standard,40.679226,-74.012904,40.680253,-74.014403
964,QUEENS,FERRIS ST,R,1,Signed Route,40.680253,-74.014403,40.67972,-74.01503
966,QUEENS,COLUMBIA ST,2,2,Sharrows,40.671968,-74.008983,40.671758,-74.009128
970,QUEENS,BAY ST,2,2,Sharrows,40.673298,-74.008341,40.672803,-74.00665
972,QUEENS,PIONEER STREET,2,2,Sidewalk,40.679365,-74.011699,40.679738,-74.012262
975,QUEENS,IMLAY STREET,2,2,Sidewalk,40.680431,-74.010452,40.679365,-74.011699
977,QUEENS,IMLAY ST,2,2,Protected Path,40.681496,-74.0092,40.680431,-74.010452
980,QUEENS,COLUMBIA ST,2,2,Sharrows,40.673966,-74.008031,40.673298,-74.008341
988,QUEENS,VAN BRUNT ST,2,2,Greenway,40.683363,-74.00596,40.683204,-74.006065
992,QUEENS,UNION ST,R,1,Standard,40.684995,-74.005179,40.684391,-74.00301
993,QUEENS,VAN BRUNT ST,2,2,Greenway,40.685668,-74.004852,40.684995,-74.005179
994,QUEENS,SACKETT STREET,L,1,,40.685668,-74.004852,40.685062,-74.002686
995,QUEENS,VAN BRUNT ST,2,2,Greenway,40.686354,-74.004538,40.685668,-74.004852
998,QUEENS,CLINTON ST,L,1,,40.672534,-74.00291,40.671852,-74.003242
1001,QUEENS,COURT ST,2,2,Sharrows,40.671976,-74.000899,40.671313,-74.00122
1002,QUEENS,CREAMER ST,R,1,Sharrows,40.671976,-74.000899,40.671627,-73.999659
1005,QUEENS,UNION ST,R,1,Sharrows,40.68391,-74.001282,40.683473,-73.999726
1008,QUEENS,SMITH ST,L,1,,40.671627,-73.999659,40.67098,-73.999963
1010,QUEENS,LORRAINE ST,L,1,,40.672618,-74.000595,40.672273,-73.999347
1015,QUEENS,SMITH ST,L,1,,40.672825,-73.998695,40.672574,-73.998818
1018,QUEENS,W 9 ST,L,1,,40.675556,-74.000674,40.675201,-73.999352
1019,QUEENS,GARNET STREET,R,1,Curbside,40.674688,-74.000136,40.674554,-73.999661
1024,QUEENS,9 ST,2,2,Sharrows,40.674741,-73.99777,40.674143,-73.99666
1026,QUEENS,CLINTON ST,L,1,,40.67769,-74.000405,40.677044,-74.000718
1030,QUEENS,2 PL,L,1,,40.680054,-73.99927,40.679502,-73.997283
1034,QUEENS,UNION ST,R,1,Standard,40.683473,-73.999726,40.682957,-73.997871
1035,QUEENS,HENRY ST,R,1,Signed Route,40.684145,-73.999401,40.683473,-73.999726
1049,QUEENS,5 AV,2,2,Standard,40.66079,-73.994004,40.660228,-73.994588
1050,QUEENS,9 ST,2,2,Curbside,40.674143,-73.99666,40.674034,-73.996319
1058,QUEENS,3 ST,2,2,Sharrows,40.678837,-73.995794,40.677842,-73.993725
1078,QUEENS,COURT ST,R,1,Sharrows,40.685778,-73.994254,40.685452,-73.994408
1083,QUEENS,5 AV,2,2,Sharrows,40.661908,-73.992838,40.661349,-73.993421
1085,QUEENS,5 AV,2,2,Standard,40.663029,-73.991673,40.662469,-73.992255
1087,QUEENS,3 AV,R,1,Standard,40.668451,-73.993531,40.667848,-73.994036
1092,QUEENS,9 ST,2,2,Sharrows,40.672604,-73.993379,40.671458,-73.991023
1094,QUEENS,3 ST,2,2,Standard,40.676946,-73.991872,40.676218,-73.990367
1097,QUEENS,HOYT ST,R,1,Sharrows,40.678479,-73.993295,40.677842,-73.993725
1101,QUEENS,BOND STREET,L,1,,40.67755,-73.99137,40.676946,-73.991872
1121,QUEENS,BERGEN ST,L,1,,40.687824,-73.993268,40.687314,-73.99194
1124,QUEENS,BOERUM PL,R,1,Standard,40.687958,-73.991509,40.687314,-73.99194
1125,QUEENS,DEAN ST,R,1,Sharrows,40.687958,-73.991509,40.687365,-73.990035
1131,QUEENS,15 ST,L,1,,40.665566,-73.989313,40.664425,-73.986951
1133,QUEENS,14 ST,R,1,Standard,40.66617,-73.988809,40.665028,-73.986449
1145,QUEENS,UNION ST BR,2,2,Standard,40.679946,-73.989559,40.679537,-73.988505
1149,QUEENS,NEVINS ST,R,1,Sharrows,40.679744,-73.98696,40.679104,-73.987393
1150,QUEENS,BOND STREET,L,1,,40.680581,-73.989129,40.679946,-73.989559
1154,QUEENS,DE GRAW ST,L,1,,40.680373,-73.986533,40.679612,-73.984569
1155,QUEENS,SMITH ST,L,2,,40.687365,-73.990035,40.686728,-73.990467
1156,QUEENS,DEAN ST,R,1,Standard,40.687365,-73.990035,40.686503,-73.987859
1158,QUEENS,HOYT ST,R,1,Curbside,40.685869,-73.988289,40.685225,-73.988712
1174,QUEENS,9 ST,2,2,Protected Path,40.668031,-73.983943,40.666888,-73.981582
1175,QUEENS,5 AV,2,2,Sharrows,40.669173,-73.986304,40.668578,-73.9868
1178,QUEENS,5 AV,2,2,Standard,40.670385,-73.985294,40.669782,-73.985795
1183,QUEENS,3 ST,R,1,Standard,40.672796,-73.983282,40.671655,-73.980923
1192,QUEENS,BOND STREET,L,1,,40.685024,-73.986119,40.684389,-73.986563
1202,QUEENS,SCHERMERHORN ST,2,2,Standard,40.688175,-73.983988,40.68733,-73.981817
1203,QUEENS,15 ST,L,1,,40.662141,-73.98223,40.661155,-73.980172
1205,QUEENS,PROSPECT PARK W,R,1,Sharrows,40.661243,-73.979654,40.661252,-73.979677
1206,QUEENS,PROSPECT PARK W,2,2,Protected Path,40.661243,-73.979654,40.661203,-73.9796
1218,QUEENS,2 ST,L,1,,40.673399,-73.982781,40.672256,-73.980418
1223,QUEENS,5 AV,2,2,Sharrows,40.675778,-73.980889,40.675146,-73.981326
1226,QUEENS,BERKELEY PL,R,1,Standard,40.677049,-73.980032,40.676073,-73.977531
1228,QUEENS,LINCOLN PL,L,1,,40.67768,-73.979598,40.676707,-73.977102
1232,QUEENS,LAFAYETTE AV,R,1,Curbside,40.686647,-73.979811,40.686682,-73.979363
1233,QUEENS,LAFAYETTE AV,R,1,Standard,40.686682,-73.979363,40.686714,-73.979057
1234,MANHATTAN,BARRY ROAD,2,2,Greenway,40.688128,-74.014417,40.687953,-74.014666
1236,MANHATTAN,BARRY ROAD,2,2,Greenway,40.691267,-74.012766,40.691089,-74.012811
1237,MANHATTAN,WILLIAM ST,R,1,Standard,40.70734,-74.008645,40.707722,-74.008269
1238,MANHATTAN,KIMMEL RD,2,2,Greenway,40.691267,-74.012766,40.691026,-74.012607
1239,MANHATTAN,PEARL ST,L,1,,40.703151,-74.01443,40.7031,-74.012998
1240,MANHATTAN,BRIDGE ST,R,1,Sharrows,40.703599,-74.014392,40.703587,-74.013113
1242,MANHATTAN,PEARL ST,L,1,,40.7031,-74.012998,40.703207,-74.01257
1244,MANHATTAN,PEARL ST,L,1,,40.703447,-74.011597,40.703695,-74.010645
1245,MANHATTAN,BROADWAY,L,1,,40.705871,-74.013254,40.706767,-74.012508
1248,MANHATTAN,BROAD ST,L,1,,40.704019,-74.011576,40.703579,-74.011594
1253,MANHATTAN,OLD SLIP,R,1,Curbside,40.704085,-74.008988,40.703698,-74.008542
1254,MANHATTAN,OLD SLIP,L,1,,40.704211,-74.008789,40.703813,-74.008325
1257,MANHATTAN,SOUTH WILLIAM ST,L,1,,40.705148,-74.009984,40.704763,-74.010327
1258,MANHATTAN,HANOVER SQ,L,1,,40.704775,-74.009746,40.704528,-74.009455
1259,MANHATTAN,WILLIAM ST,R,1,Sharrows,40.704775,-74.009746,40.705148,-74.009984
1264,MANHATTAN,CHURCH ST,R,1,Sharrows,40.709687,-74.011674,40.710367,-74.011231
1269,MANHATTAN,WILLIAM ST,R,1,Curbside,40.707722,-74.008269,40.707977,-74.008004
1276,MANHATTAN,W BROADWAY,L,1,,40.714951,-74.00969,40.71552,-74.009239
1277,MANHATTAN,W BROADWAY,L,1,,40.71552,-74.009239,40.716014,-74.008823
1278,MANHATTAN,WARREN ST,L,1,,40.714362,-74.008387,40.714951,-74.00969
1279,MANHATTAN,CHURCH ST,R,1,Standard,40.714362,-74.008387,40.714927,-74.007939
1284,MANHATTAN,PEARL ST,L,1,,40.706724,-74.006781,40.706982,-74.006456
1285,MANHATTAN,PEARL ST,L,1,,40.706982,-74.006456,40.707206,-74.005951
1286,MANHATTAN,PLATT ST,R,1,Sharrows,40.707858,-74.006838,40.707206,-74.005951
1287,MANHATTAN,WILLIAM ST,R,1,Sharrows,40.707977,-74.008004,40.708345,-74.00764
1289,MANHATTAN,GOLD ST,L,1,,40.707858,-74.006838,40.708227,-74.006531
1294,MANHATTAN,GOLD ST,L,1,,40.709661,-74.004826,40.710166,-74.004253
