,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
6683,BRONX,E 226 ST,2,2,Sharrows,40.889716,-73.863809,40.889428,-73.862948
6685,BRONX,E 225 ST,R,1,Standard,40.887803,-73.860452,40.886892,-73.857593
6687,BRONX,CARPENTER AVE,L,1,,40.88872,-73.863336,40.889428,-73.862948
6688,BRONX,E 226 ST,L,1,,40.889428,-73.862948,40.888832,-73.861087
6690,BRONX,BRONX RIVER GREENWAY,2,2,Greenway,40.896321,-73.862645,40.896319,-73.862651
6691,BRONX,WEBSTER AV,2,2,Signed Route,40.897406,-73.862612,40.898091,-73.862428
6701,BRONX,E 226 ST,L,1,,40.887595,-73.857193,40.886682,-73.854323
6713,BRONX,BAYCHESTER AV,2,2,Standard,40.9046,-73.852924,40.904245,-73.852156
6732,BRONX,LACONIA AVE,2,2,Sharrows,40.886979,-73.847444,40.887672,-73.84705
6733,BRONX,LACONIA AVE,2,2,Standard,40.887672,-73.84705,40.888391,-73.846655
6734,BRONX,E 233 ST,2,2,Bike-Friendly Parking,40.890222,-73.847414,40.889877,-73.846325
6737,BRONX,E 233 ST,2,2,Standard,40.889741,-73.845906,40.889551,-73.845232
6742,BRONX,GRENADA PL,R,1,Sharrows,40.888307,-73.842859,40.888456,-73.841961
6745,BRONX,E 233 ST,L,1,,40.888822,-73.843045,40.888456,-73.841961
6747,BRONX,E 233 ST,2,2,Standard,40.888456,-73.841961,40.888553,-73.841053
6751,BRONX,E 233 ST,2,2,Standard,40.888553,-73.841053,40.888687,-73.840176
6760,BROOKLYN,PARK DR E,2,2,Standard,40.72804,-73.831705,40.727598,-73.831405
6765,BROOKLYN,77 AV,2,2,Sharrows,40.720463,-73.825859,40.720828,-73.823839
6770,BROOKLYN,77 RD,2,2,Sharrows,40.720253,-73.821054,40.720266,-73.820975
6771,BROOKLYN,141 ST,2,2,Sharrows,40.721245,-73.821533,40.720253,-73.821054
6772,BROOKLYN,150 ST,2,2,Standard,40.729168,-73.818162,40.728525,-73.817828
6784,BROOKLYN,78 AVE,L,1,,40.720608,-73.816364,40.721284,-73.814095
6785,BROOKLYN,77 RD,R,1,Standard,40.721275,-73.816706,40.721948,-73.814438
6794,BROOKLYN,65 AVE,L,1,,40.737102,-73.81333,40.737067,-73.812391
6795,BROOKLYN,59 AV,2,2,Sharrows,40.740787,-73.814995,40.740746,-73.814023
6797,BROOKLYN,77 RD,2,2,Sharrows,40.723033,-73.81013,40.723262,-73.808047
6798,BROOKLYN,PARSONS BLVD,2,2,Standard,40.722343,-73.809854,40.721649,-73.809594
6803,BROOKLYN,PARSONS BLVD,2,2,Standard,40.727172,-73.810886,40.727045,-73.810806
6811,BROOKLYN,PARSONS BL,2,2,Standard,40.742295,-73.810133,40.740601,-73.810244
6814,BROOKLYN,PARSONS BLVD,2,2,Standard,40.715716,-73.807774,40.715025,-73.807637
6827,BROOKLYN,LAWRENCE ST,R,1,Sharrows,40.74464,-73.833546,40.743957,-73.833658
6834,BROOKLYN,BOOTH MEMORIAL AV,2,2,Signed Route,40.747834,-73.833003,40.748106,-73.831255
6837,BROOKLYN,COLLEGE POINT BL,2,2,Sharrows,40.753721,-73.83282,40.753007,-73.832601
6838,BROOKLYN,MAPLE AV,R,1,Standard,40.753721,-73.83282,40.754545,-73.830553
6839,BROOKLYN,COLLEGE POINT BL,L,1,,40.752317,-73.832391,40.751942,-73.832295
6843,BROOKLYN,SANFORD AV,L,1,,40.754661,-73.833103,40.755429,-73.831416
6854,BROOKLYN,133 ST,R,1,Signed Route,40.748618,-73.831266,40.748582,-73.831273
6855,BROOKLYN,ELDER AV,L,1,,40.749026,-73.830609,40.749022,-73.830659
6859,BROOKLYN,137 ST,L,1,,40.748464,-73.827851,40.747034,-73.828055
6860,BROOKLYN,56 AV,R,1,Signed Route,40.748464,-73.827851,40.748387,-73.826917
6866,BROOKLYN,UNION ST,R,1,Standard,40.766104,-73.82769,40.765363,-73.827863
6876,BROOKLYN,PECK AV,L,1,,40.749677,-73.826737,40.749348,-73.825844
6877,BROOKLYN,SANFORD AV,L,1,,40.757143,-73.82709,40.757433,-73.826027
6879,BROOKLYN,UNION ST,R,1,Sharrows,40.759329,-73.825968,40.758581,-73.82561
6894,BROOKLYN,PARSONS BL,L,1,,40.769286,-73.824443,40.768169,-73.824212
6897,BROOKLYN,BOOTH MEMORIAL AV,R,1,Signed Route,40.745169,-73.82138,40.744585,-73.819646
6899,BROOKLYN,142 ST,R,1,Signed Route,40.746652,-73.82334,40.745838,-73.823407
6900,BROOKLYN,56 RD,L,1,,40.746652,-73.82334,40.745838,-73.820959
6903,BROOKLYN,CHERRY AV,R,1,Standard,40.753879,-73.822803,40.754621,-73.821667
6906,BROOKLYN,PARSONS BL,L,1,,40.758872,-73.820636,40.758483,-73.820045
6908,BROOKLYN,PARSONS BL,L,1,,40.761625,-73.822074,40.761072,-73.821811
6910,BROOKLYN,PARSONS BL,L,1,,40.764652,-73.823482,40.763666,-73.823025
6916,BROOKLYN,150 ST,L,1,,40.744614,-73.817815,40.744041,-73.818031
6917,BROOKLYN,CHERRY AV,R,1,Sharrows,40.755515,-73.820301,40.755966,-73.819618
6925,BROOKLYN,56 AV,R,1,Signed Route,40.745039,-73.816658,40.744795,-73.815795
6927,BROOKLYN,PECK AV,L,1,,40.74612,-73.816246,40.745929,-73.815366
6929,BROOKLYN,153 ST,L,1,,40.745732,-73.814451,40.744621,-73.814883
6935,BROOKLYN,43 AV,R,1,Sharrows,40.759192,-73.809799,40.759115,-73.808867
6940,BROOKLYN,OAK AV,R,1,Sharrows,40.750119,-73.807271,40.750048,-73.806333
6941,BROOKLYN,OAK AV,2,2,Sharrows,40.750048,-73.806333,40.749973,-73.8054
6942,BROOKLYN,161 ST,L,1,,40.751711,-73.806111,40.750048,-73.806333
6943,BROOKLYN,46 AV,2,2,Sharrows,40.753914,-73.806737,40.753838,-73.805819
6944,BROOKLYN,160 ST,R,1,Standard,40.756545,-73.806394,40.753914,-73.806737
6956,BROOKLYN,PIGEON MEADOW RD,2,2,Standard,40.750997,-73.803382,40.750508,-73.803007
6962,BROOKLYN,161 ST,L,1,,40.758822,-73.805138,40.756472,-73.805458
6966,BROOKLYN,160 ST,R,1,Sharrows,40.760615,-73.80584,40.758895,-73.806073
6972,BROOKLYN,UNDERHILL AV,2,2,Signed Route,40.746756,-73.800175,40.746856,-73.799217
6994,BROOKLYN,WILLETS POINT BL,2,2,Standard,40.776743,-73.824331,40.776787,-73.823065
7000,BROOKLYN,WILLETS POINT BL,2,2,Sharrows,40.778119,-73.809163,40.778367,-73.807935
7002,BROOKLYN,WILLETS POINT BL,2,2,Standard,40.778716,-73.806196,40.779039,-73.805111
7009,BRONX,HARDING AV,2,2,Standard,40.812934,-73.827264,40.813234,-73.826391
7020,BRONX,E TREMONT AV,2,2,Standard,40.819744,-73.817647,40.819045,-73.817234
7040,BROOKLYN,172 ST,L,1,,40.729007,-73.797803,40.727485,-73.797512
7043,BROOKLYN,173 ST,R,1,Standard,40.727656,-73.796633,40.726681,-73.796447
7068,BROOKLYN,210 St,2,2,Protected Path,40.742437,-73.765151,40.740673,-73.764315
7072,BROOKLYN,UNDERHILL AV,2,2,Curbside,40.746491,-73.791406,40.746132,-73.790233
7080,BROOKLYN,OCEANIA ST,2,2,Protected Path,40.745526,-73.767615,40.744223,-73.766979
7082,BROOKLYN,OCEANIA ST,2,2,Curbside,40.746039,-73.767855,40.745844,-73.767763
7089,BRONX,CITY ISLAND BR,2,2,Curbside,40.856328,-73.79357,40.856576,-73.794304
7092,BROOKLYN,73 Av,2,2,Protected Path,40.742405,-73.753473,40.742611,-73.752533
7095,BROOKLYN,CLOVERDALE BLVD,2,2,Signed Route,40.740789,-73.743962,40.740094,-73.743853
7097,BROOKLYN,222 ST,2,2,Standard,40.724572,-73.734101,40.723887,-73.73384
7101,BROOKLYN,WINCHESTER BLVD,2,2,Standard,40.730657,-73.736481,40.730356,-73.736594
7114,BROOKLYN,223 ST,2,2,Protected Path,40.761995,-73.758481,40.76038,-73.758001
